m,R,likelihood
1.27159763406,11.4784472558,1.03613521564564
1.42291608032,12.3346201453,1.06923282544774
1.4761750891,13.3550719798,1.2082445777004
1.33738960281,12.3664694412,1.14349357871181
1.52198030304,12.805979278,1.07749796352885
1.23586577227,11.6489374263,1.09799736261034
1.67830705583,15.1539786337,1.36830165030862
1.40378350027,12.7337879292,1.15508787330996
1.52771092092,13.8185410719,1.24992344218917
1.2298025804,11.7300682047,1.11883354889526
1.13650428283,11.1381693973,1.09158269666773
1.41120292127,12.7607829006,1.15389230953854
1.52244234091,12.5289804253,1.03107558712022
1.51551738306,13.0553121314,1.12464053676844
1.54659027275,12.7669699704,1.05390291867874
1.79421341469,16.0159098817,1.4296477490911
1.39336477706,12.5804020308,1.13585895357858
1.23742170572,11.1080379414,0.997138213327749
1.61061915714,14.529220165,1.31066580512234
1.33560660155,12.4098552933,1.15306738987053
1.54520073639,13.7935469056,1.23130873342658
1.5014773078,12.8685459026,1.10291035985759
1.53877831608,13.6197116122,1.20547865941129
1.46438928696,12.778827962,1.11513053718068
1.36277404478,12.5168642225,1.1496538966944
1.32709431635,10.9528026249,0.903962973676598
1.66568815902,14.5959475626,1.27900135574144
1.43672918824,13.0144056206,1.17889078166353
1.36658468638,11.8350010436,1.02494406367772
1.60507930491,14.2553889768,1.26608080887371
1.313630815,10.9716905294,0.916380297823597
1.51920649007,14.0993988086,1.3085322847628
1.47223833196,12.4030820123,1.04491570142579
1.25450100052,12.3216967723,1.21023617759006
1.36380590238,14.050651729,1.44757184299057
1.53725612066,14.2578118087,1.32238923998323
1.29473187785,11.0469137226,0.942542602925652
1.28875686403,12.433615112,1.1995657571959
1.29187730332,11.9222513223,1.10026010148799
1.39144864766,12.4502738399,1.11401373578936
1.38053542324,13.3396936733,1.28897373200432
1.5011908874,13.5828605071,1.22898436731885
1.36013424975,12.77769406,1.20039228819978
1.5111384371,14.3722823944,1.36693253504473
1.17131772535,12.1772209088,1.26596540622931
1.2639647458,11.48464005,1.04351782380619
1.46776861621,13.1738265175,1.18240486961622
1.53110119892,13.0614204032,1.11423592385757
1.37772431007,12.317740789,1.1012851998282
1.23463718516,11.9460668654,1.15587426862056
1.60664072348,13.5532928244,1.1433275404738
1.44072415369,13.0598141971,1.18384104329543
1.655636893,14.4451382179,1.26031250708926
1.52828327596,14.4426987373,1.36487467720714
1.5804888681,13.1553858235,1.09500360803689
1.78516268953,15.4873358471,1.34361828342015
1.45725367994,12.8649389948,1.13574413956024
1.47057260862,13.9852343281,1.33000477471714
1.7018483954,14.7314653501,1.2751783974578
1.50677206777,12.9923361525,1.12028123540134
1.26385482473,11.8828597568,1.11723604739762
1.71251385814,14.3515470538,1.202716696474
1.46122484842,13.4956447986,1.24643674894396
1.34337411369,13.6748421222,1.39202674918601
1.44074048586,13.2952430363,1.22689300388802
1.41736905353,13.0110545901,1.19437925124365
1.56525000301,13.9878541931,1.25002500050001
1.38169461018,12.2781182724,1.09106699806008
1.37263165647,13.1805754057,1.26565296302015
1.22761436717,11.9611438334,1.16542238403465
1.31217437458,12.1426383781,1.12365863250744
1.32329160703,12.3749787468,1.15726676734888
1.49372005692,13.045473592,1.13933237401547
1.29524486846,11.4137001246,1.00577516097431
1.52936882639,12.9623386753,1.09863790872077
1.6336777573,13.8197037161,1.16904508890003
1.50905343323,12.2753982006,0.998542128492401
1.65544478876,14.3650192386,1.24651598781406
1.32791520343,12.5440767963,1.1849689064159
1.40488673208,12.2625979756,1.07034522915021
1.23269824046,12.0147486686,1.17104246199967
1.29065390577,12.1391065362,1.14173106981343
1.42847092792,12.0963409793,1.02432253868098
1.40302417705,12.8909210368,1.18441172046462
1.43881869373,12.728474243,1.12602087867913
1.55046780904,14.0468195376,1.27260463991652
1.58275333711,14.0139183758,1.24081178870464
1.49350692388,12.4712062236,1.04138137156175
1.15961445022,11.3641527424,1.11367999964362
1.6741721831,13.8970148505,1.15356752292139
1.39241543462,13.7389726991,1.35562523469262
1.28592241899,12.2383141229,1.16473824837344
1.27130302588,10.849156996,0.925857343900452
1.60301727843,14.2000118639,1.25788062209744
1.17873579622,11.4991844548,1.12180565838774
1.54375082656,14.478647698,1.357933659509
1.45752906088,14.2917751145,1.40137671248234
1.61533904906,14.0791468574,1.22712485872725
1.60288950264,13.5298685763,1.14204531178979
1.29466306754,12.0697834242,1.12523278253189
1.40559674896,13.0403769003,1.20981596279574
1.63411171103,14.0790235175,1.21300633917113
1.37043552113,13.1122455857,1.25457134433592
1.48792381581,12.3844169723,1.03079075050844
1.35609770385,12.3023989373,1.11606270933151
1.53729533414,13.3315211358,1.15611748003385
1.38908926711,11.8993192005,1.01932850715263
1.43443466042,13.1029892553,1.19690528170363
1.57127599984,13.6213097305,1.18082435710018
1.69875676727,14.4356069747,1.22670186483218
1.64908718776,14.8088230046,1.32983498077724
1.67097129484,14.8828547148,1.32557254792276
1.53963866053,13.6840313454,1.21621210739153
1.55906910563,13.7048360643,1.2047089664079
1.47036365692,12.8276669083,1.11910400057298
1.52067574509,13.563167016,1.2097222961497
1.6078208799,15.0721924702,1.4129123231387
1.27280448761,11.9427305023,1.12058754646236
1.41671474702,14.1889149353,1.42107222741703
1.45671653335,12.8452883016,1.13269396534636
1.42311466227,12.8711108578,1.16410505349645
1.59801225086,13.9284221615,1.21401360180839
1.47519499626,14.6740049915,1.45964732001454
1.45509848869,13.8028634272,1.30932039724781
1.30187547541,12.7022544006,1.23934473365242
1.43413091102,12.4474686403,1.08037212337418
1.41886077796,12.8270704631,1.15961927380003
1.48419892071,12.9125138372,1.1233872371976
1.36636234278,12.9760226568,1.23230259436665
1.24548046158,11.492838698,1.06051736279026
1.33960594335,12.121659781,1.09684962849703
1.25048880595,12.4640656427,1.2423378811182
1.27044385483,12.1744016874,1.16664741698429
1.51129653786,12.6825004141,1.06429060242041
1.3967769894,12.7662977008,1.16681757507304
1.40160716221,12.8955394317,1.1864591786855
1.53028657405,12.8620651666,1.08105770686039
1.5608548599,13.3034277903,1.13387298128089
1.60437563481,13.3428383914,1.10966115387005
1.14032641864,11.0978773201,1.08006640248242
1.53029521611,13.6175588622,1.21177897636183
1.37121219518,12.527767308,1.14457072874818
1.71943965402,14.6798224159,1.25329931043472
1.35940543529,11.3909824795,0.954489920586439
1.39509909408,12.9535470401,1.20274128794348
1.29166540853,11.4028805362,1.00665094277894
1.4240579082,13.3356484105,1.24882298433726
1.45244549091,13.4994028893,1.254668936781
1.49457670204,13.7747873393,1.26955592203403
1.28302145477,11.8768469977,1.09943148397963
1.38844252097,13.4772771804,1.30820703684565
1.32970686459,12.5197216417,1.1787823885196
1.67396698637,14.8079041779,1.30990695730882
1.25848534204,12.6821073797,1.2780108017473
1.62366985395,14.0777092593,1.22057945789184
1.51097089167,13.3282508079,1.17568357182075
1.47379639863,14.1298378025,1.35468130444972
1.55115210995,13.859737005,1.23838549206628
1.30948653212,12.305194609,1.15631399475265
1.29166540853,11.4028805362,1.00665094277894
1.38928836102,12.1348591554,1.05992947229291
1.36015834178,12.5877095803,1.16494041912226
1.62036591945,13.6795434401,1.15486243278701
1.40093066375,13.4436264416,1.29007954630483
1.62630585109,13.6868536125,1.15187467603525
1.19630720841,11.5534868355,1.11579248045132
1.45290284479,13.0266804075,1.16796778277668
1.51071077443,14.214741417,1.33750814208082
1.60191285732,14.1969884003,1.25821140216337
1.19008047803,11.3233943784,1.07740044819859
1.26570049467,11.5498071537,1.05394623820239
1.77072541974,15.0756529522,1.28351580649716
1.68233516186,15.4168221158,1.4127885620638
1.36068954078,11.7376535415,1.01251980741873
1.52292460572,13.4634087093,1.19023247620725
1.37337635103,11.98809633,1.04643119871833
1.40643399566,12.8550920148,1.17498181715638
1.51886811217,13.8553211392,1.2639013348062
1.30589509766,11.7467779719,1.05664572042634
1.30582520688,12.2261859867,1.14471354115989
1.38366536078,12.2323289397,1.08140257914515
1.45927214115,13.4022351897,1.23088739595924
1.37766085021,12.2267087546,1.08511771899575
1.47851526022,12.8569511755,1.11802172763425
1.35193095936,12.980559077,1.24632800611199
1.42609598621,13.1826431147,1.21858636669945
1.55995513106,14.7747219683,1.39935098101501
1.40296198198,12.8939353848,1.18501805375005
1.38578885266,11.7767707633,1.00081866967179
1.24608795575,11.4544495124,1.05293083297358
1.46315066579,11.7771799882,0.947966138649528
1.54141639059,14.2663099805,1.32039347725622
1.57569455101,14.0539095774,1.25349411484513
1.34911254385,13.3579006057,1.32259911888447
1.73304479829,14.5341606043,1.21890571520512
1.53490166946,14.3597544932,1.34342514300761
1.65650141985,14.4553119674,1.26143013379989
1.22634349416,12.089822964,1.19186670162809
1.33717925434,13.9817723205,1.46195838096881
1.22374944134,11.4395151077,1.0693574551859
1.50287160932,13.82677616,1.27209631295605
1.26440660608,12.2362850979,1.18416487364369
1.72207556398,15.8386102542,1.45674063024427
1.58524171438,14.9381777176,1.40766558370261
1.58464437594,14.5178533488,1.33006492046877
1.32893976846,12.5304163618,1.18147866781191
1.6015602253,14.1549415588,1.25104462225959
1.72848417068,14.6722387679,1.24545254140818
1.26230592325,12.0618903447,1.1525663618897
1.83823988147,15.2821983557,1.27048498223227
1.29904982669,12.0657904493,1.12069052467368
1.48053261575,13.5710930747,1.24397449852278
1.43221179382,13.3747473927,1.2490039193743
1.69708513019,14.1588429324,1.18127769357893
1.50610971756,14.5795241542,1.41133499588596
1.42589441275,14.5536695677,1.48544928156246
1.58832096546,13.7324003741,1.18728465624547
1.5543742462,12.8432913128,1.06119936752518
1.29947656885,12.0305638209,1.11379039578542
1.49449571077,12.8826720564,1.11049663630569
1.34812535094,12.6459416218,1.18623821324055
1.26953509603,11.0257855399,0.957579239682084
1.31038153599,11.5599491959,1.01979732547953
1.42159085456,12.7993390197,1.15239236655296
1.25837490627,12.2784988439,1.19806536405013
1.31749895817,12.5332983121,1.19228591016126
1.39614681807,11.9610311127,1.02472245392335
1.6154911206,14.2721429942,1.26087981671851
1.42713656688,13.6040906145,1.29680156861118
1.31938617789,11.7169629183,1.04053833291192
1.63190777048,14.1342528854,1.22419399067654
1.63619752759,14.6731853005,1.31587084990782
1.36290757909,11.9200303759,1.04252892496502
1.33444927173,13.6488857245,1.39602217441622
1.22596600723,11.5142774903,1.08142129037351
1.50581556764,14.6929982351,1.4336691464364
1.37065174354,12.9208078503,1.2180134444324
1.32585171019,12.9382415547,1.2625704672142
1.27374843792,12.1303025715,1.15520663181023
1.3934727986,12.737779147,1.16436394290891
1.49352906041,12.807085468,1.0982144131856
1.49237116698,12.8022474401,1.09823612296291
1.56973755991,14.4676060586,1.33341867212835
1.70767650184,14.2688975342,1.19227169487383
1.51154666098,13.8432906708,1.26781919883969
1.40683872813,13.7154072791,1.33712899684571
1.359602879,11.9709116169,1.0540040031072
1.41242373863,12.6873846835,1.13966997436882
1.37407918107,11.6400513333,0.986047428881329
1.27698784216,11.7294158746,1.07737258991752
1.28686078487,10.9153952852,0.925865916098031
