R, m,likelihood
14.15501,2.10137,1.43317191040382
13.72271,2.11313,32.8407224958949
11.40361,2.15069,0.502098016562205
12.51597,2.16642,0.676568014029314
11.8144,2.16588,3.83924320837876
12.36079,2.06707,17.0163527149591
12.57373,2.05728,0.598166261508719
13.36799,2.11755,5.40581449406982
15.97389,1.99576,5.65112231289134
11.44086,2.02886,3.44600625105534
13.55575,1.87082,0.396676957789208
11.34267,2.08974,8.24164503234846
15.73711,2.1911,3.23114304916507
11.939,2.08214,17.3843506075831
24.23579,2.13001,33.7986277757123
12.6761,2.11513,4.50992860783014
12.05232,1.99864,5.52929142130436
14.80847,2.10427,1.51327826009319
16.64637,2.18789,3.34260348700396
13.50978,2.0649,19.3315161708133
12.9243,2.04846,10.9926349345938
14.98942,2.102,10.1790494803595
15.20354,2.00103,32.0420391553718
12.50066,2.03057,5.25980822739203
14.23277,2.17317,6.54625914021432
11.95556,2.01739,3.29031791051651
12.17216,2.03851,3.03461586315096
14.45769,2.1945,0.438756598899247
13.01201,1.9549,4.32434302418605
13.89614,2.25794,3.93835683875973
14.75607,2.07675,1.51539719318132
15.49781,2.01426,7.95146426214387
13.18114,2.08398,19.1971741759613
13.9316,2.29655,0.896061362282089
13.99328,2.16747,15.4268612508099
15.17701,2.09354,10.2726357528815
12.33009,2.18603,0.575660498464426
16.63551,2.15285,19.7230878466333
13.7504,2.15128,0.48580738028856
12.2954,2.01018,2.40460915482797
16.18145,2.16256,58.3022388059702
13.76473,2.06684,1.68553056288293
15.31897,2.00499,12.8297239043416
14.65229,2.00592,2.15372421992109
13.10569,2.10579,21.933191498695
14.46522,2.10532,22.7345064338653
15.32608,2.17926,18.5859787376403
13.79391,2.05597,27.6006734564323
14.58006,2.05659,4.30681769240708
12.52805,2.20195,11.1361054811911
12.45802,2.01797,4.25504755015637
13.31569,2.19331,4.17323951890895
16.27389,2.23942,0.665591957519259
11.96515,2.18924,1.03061864945671
12.43531,2.07424,6.04456050000605
17.6208,2.05908,7.41207426898417
16.66003,2.21265,1.17512127251532
14.56715,2.13714,0.701727794174817
13.94179,2.16014,6.54210498770084
11.96137,2.11632,0.584990660624103
17.08468,1.82951,0.294512900695846
11.74279,2.20683,0.315206739372253
12.67489,2.1957,1.6579403738324
13.4091,2.18465,3.08176856534428
12.76116,2.02186,6.63345516779325
10.47239,1.96245,0.676989859368897
12.43921,1.94581,14.1598935176007
16.37239,2.05483,11.5163589879424
15.66478,2.27413,1.50075337819585
14.18561,2.02721,17.7897957731445
12.61447,1.92477,17.1001556114161
12.44855,2.21823,0.714921483748047
13.85574,2.12669,4.3613272391054
20.79828,2.13023,8.45394291897741
15.45202,2.12946,8.80808934925836
14.30737,2.24176,1.18525823221105
11.92282,2.0157,4.51981486838299
17.21784,2.19613,0.503393881549406
12.85502,1.98306,23.9188672024493
11.86415,2.03713,2.60661715831811
11.06362,2.03494,1.23685073066957
15.20102,2.11222,22.741744746657
11.82129,2.15156,0.496812698135114
12.81929,2.15651,0.455799109277381
15.13803,2.13412,4.24068427681491
13.34521,2.22211,0.596464753406559
13.10833,1.99552,5.31716913915032
14.05317,2.14336,5.07717303005686
16.40701,2.13192,52.8038863660365
12.76313,2.1853,0.315006169395828
12.76315,2.02015,34.7838185676024
14.75952,2.03437,34.960145434205
10.63979,1.94685,4.18727153199704
16.17112,2.11125,1.81430250954323
13.62053,2.03074,1.56765366141189
14.48253,2.17931,1.49451140685831
12.12315,1.98916,11.3852424487379
15.42123,2.12796,2.98903621516278
14.57419,2.06847,6.24200243438095
13.22038,1.93585,4.54266699979558
15.09713,2.09685,12.7027679331326
14.6349,2.04924,5.45553737043099
16.55782,2.26822,3.36781980816898
13.27922,2.19696,0.229520146819447
15.82899,2.07268,17.4996500069999
15.17646,2.08172,6.51342743064828
12.37231,2.08074,3.17178381121543
17.76151,2.27556,0.200598022825648
12.57554,2.12279,0.545707058993662
11.54711,2.06475,1.05448414108576
11.65328,2.02555,4.67014748325752
15.68744,2.18538,3.17783144782001
12.56703,2.06894,2.72099958640806
16.1716,2.15253,35.5126247380944
13.3977,2.07444,5.86176779193069
12.69698,2.03712,14.8407586595827
13.34009,2.04933,1.49408268552398
13.72845,2.1013,5.95312509301758
13.67732,2.16529,6.0039866471337
12.68154,2.01032,6.01116875154036
15.03478,2.09489,8.31953676819275
17.6791,2.24117,0.838670773917003
13.11029,1.98522,21.6548647653695
13.68696,2.15713,0.892425272769784
13.88482,2.29261,0.24447211868828
11.45667,1.94584,9.17852225791648
12.42196,2.1188,3.80407492505972
12.75154,2.15259,5.92413552052417
14.43673,2.16568,1.03592698372248
12.90835,2.0658,30.7078151389529
15.86723,2.1351,3.6378716995409
15.5475,2.15506,7.87730312650161
14.76132,2.27286,0.180717480928432
12.19441,2.0836,12.6988964658971
16.22803,2.11693,28.014343343792
14.1701,2.11672,1.46260199820685
14.89701,2.04008,1.68689250783562
11.8327,1.96335,10.5727244853726
11.5025,2.02614,4.9335938270874
14.63314,2.08299,6.92923861526096
14.52158,2.15355,19.612842489262
12.85978,2.10925,1.49708442807632
15.21703,2.17038,0.504262531176031
11.76324,2.01653,2.36511176335638
14.29333,2.12561,61.839094675654
13.88009,2.1574,1.36506099092507
11.85914,2.06933,1.55949553438454
16.5981,2.11789,6.67320640894744
12.10508,2.15518,2.86472209330973
14.49901,1.98259,34.0263363843615
14.38258,2.01675,1.6165456682234
12.1995,2.19865,0.403296708614902
20.28126,2.06052,31.5676494728203
12.40395,2.02327,3.4790474368118
15.79086,2.08656,3.37683826633123
17.36052,2.04816,2.24159458072094
11.03515,2.03205,1.90144433711848
12.69812,2.09738,0.907579376892303
14.33151,2.22867,0.271500829435034
11.11595,1.98597,4.60210224030337
12.48494,2.04334,1.22841370025232
14.01853,2.19518,3.58223925776003
12.64424,2.23511,0.891317233173045
16.2647,1.86496,1.20060846837177
15.6539,2.1472,7.60982885494905
12.49988,2.09164,0.907392435432223
16.4439,2.00659,54.5762156852044
12.50097,2.04876,4.52730417145806
13.05325,2.1309,1.14227621381126
11.7737,2.01867,15.5318091451292
12.39329,2.06537,1.47830367609775
13.72204,2.10607,2.30826937503607
14.91666,2.08497,13.1297349106522
14.78112,1.98347,8.26952020243786
13.09743,2.01968,33.2800851970181
12.95536,2.031,15.6568028808517
16.52829,2.29174,0.330584304452276
12.35744,2.11344,6.66693334400043
14.99663,2.10733,14.8692251646767
10.97484,1.96905,4.78707107843137
12.58534,2.13418,0.884803847834973
13.85217,1.95231,10.6836465422378
12.9923,2.07535,23.1390425064211
17.82514,2.03556,38.340618050763
13.44735,2.01685,8.22571358065312
11.91524,1.99503,3.03906105169747
11.02092,2.12994,2.68674922151441
15.8156,2.09923,4.7219034937364
21.02281,2.12577,9.22858276654454
14.21985,2.03115,14.3564711793841
16.13342,2.16608,1.82222384197675
12.92774,1.9725,1.37030413900365
11.785,2.11666,3.1205824255039
