rhoc,rhocdm,R,M,Rdm,Mdm,Mb,Md,Mg,fdm 
1.440786571999999869e+05,1.440786571999999869e+05,0.000000000000000000e+00,3.035065273339108856e-25,0.000000000000000000e+00,3.035065273339108856e-25,3.035065273339108856e-25,3.035065273339108856e-25,6.070130546678217712e-25,5.000000000000000000e-01
1.440786571999999869e+05,6.123091220945771094e+13,1.000000000000000048e-04,3.035065273339108856e-25,2.000000000000101963e+01,6.425145939909419901e-02,3.035065273339108856e-25,6.457846138386008628e-02,6.425145939909419901e-02,1.000000000000000000e+00
1.440786571999999869e+05,1.224618242748367656e+14,1.000000000000000048e-04,3.035065273339108856e-25,2.000000000000101963e+01,7.494826020857447979e-02,3.035065273339108856e-25,7.547856369834850254e-02,7.494826020857447979e-02,1.000000000000000000e+00
1.440786571999999869e+05,1.836927363402158125e+14,1.000000000000000048e-04,3.035065273339108856e-25,2.000000000000101963e+01,1.094109988823613738e-01,3.035065273339108856e-25,1.106210486688577188e-01,1.094109988823613738e-01,1.000000000000000000e+00
1.440786571999999869e+05,2.449236484055948750e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.721001395000070744e+01,1.813015525179565712e-01,3.035065273339108856e-25,1.844688650233519689e-01,1.813015525179565712e-01,1.000000000000000000e+00
1.440786571999999869e+05,3.061545604709739375e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.401002995000034979e+01,2.846150972287957437e-01,3.035065273339108856e-25,2.919721778800357104e-01,2.846150972287957437e-01,1.000000000000000000e+00
1.440786571999999869e+05,3.673854725363530000e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.325003375000026473e+01,3.676234969666302699e-01,3.035065273339108856e-25,3.795128721895460466e-01,3.676234969666302699e-01,1.000000000000000000e+00
1.440786571999999869e+05,4.286163846017320625e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.304003480000024240e+01,3.976329189132178366e-01,3.035065273339108856e-25,4.114374165506336500e-01,3.976329189132178366e-01,1.000000000000000000e+00
1.440786571999999869e+05,4.898472966671111250e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.255003725000018733e+01,4.751270587766568410e-01,3.035065273339108856e-25,4.946431182284921069e-01,4.751270587766568410e-01,1.000000000000000000e+00
1.440786571999999869e+05,5.510782087324901875e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.217003915000014480e+01,5.741108925172441202e-01,3.035065273339108856e-25,6.024425842811232945e-01,5.741108925172441202e-01,1.000000000000000000e+00
1.440786571999999869e+05,6.123091207978691250e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.193004035000011775e+01,6.885710175100046015e-01,3.035065273339108856e-25,7.292530256768979813e-01,6.885710175100046015e-01,1.000000000000000000e+00
1.440786571999999869e+05,6.735400328632482500e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.177004115000010032e+01,8.140802514268640211e-01,3.035065273339108856e-25,8.710600787136953960e-01,8.140802514268640211e-01,1.000000000000000000e+00
1.440786571999999869e+05,7.347709449286272500e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.167004165000008875e+01,9.499260613373867734e-01,3.035065273339108856e-25,1.027959286907704994e+00,9.499260613373867734e-01,1.000000000000000000e+00
1.440786571999999869e+05,7.960018569940063750e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.160004200000008190e+01,1.096076284260407263e+00,3.035065273339108856e-25,1.200975421169078183e+00,1.096076284260407263e+00,1.000000000000000000e+00
1.440786571999999869e+05,8.572327690593853750e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.154004230000007425e+01,1.250783311855756086e+00,3.035065273339108856e-25,1.389258730380947604e+00,1.250783311855756086e+00,1.000000000000000000e+00
1.440786571999999869e+05,9.184636811247645000e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.149004255000006935e+01,1.406319711296187380e+00,3.035065273339108856e-25,1.584369078878834047e+00,1.406319711296187380e+00,1.000000000000000000e+00
1.440786571999999869e+05,9.796945931901435000e+14,1.000000000000000048e-04,3.035065273339108856e-25,1.144004280000006268e+01,1.548415353257279525e+00,3.035065273339108856e-25,1.768253324988956043e+00,1.548415353257279525e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.040925505255522500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.139004305000005779e+01,1.664395929230731985e+00,3.035065273339108856e-25,1.922783789640397867e+00,1.664395929230731985e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.102156417320901625e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.133004335000005014e+01,1.752885394889696746e+00,3.035065273339108856e-25,2.043676380258993230e+00,1.752885394889696746e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.163387329386280750e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.128004360000004525e+01,1.819360747059811656e+00,3.035065273339108856e-25,2.136391134127900493e+00,1.819360747059811656e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.224618241451659750e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.122004390000003937e+01,1.869977148122330846e+00,3.035065273339108856e-25,2.208197430726699384e+00,1.869977148122330846e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.285849153517039000e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.115004425000003074e+01,1.909433563820039037e+00,3.035065273339108856e-25,2.264982339552526369e+00,1.909433563820039037e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.347080065582418000e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.109004455000002487e+01,1.941108385332300568e+00,3.035065273339108856e-25,2.311135570785177507e+00,1.941108385332300568e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.408310977647797000e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.102004490000001624e+01,1.967552246226302870e+00,3.035065273339108856e-25,2.350110341795425217e+00,1.967552246226302870e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.469541889713176000e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.094004530000000663e+01,1.989191321325030293e+00,3.035065273339108856e-25,2.382335656903166843e+00,1.989191321325030293e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.530772801778555000e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.086004569999999880e+01,2.006181743343260493e+00,3.035065273339108856e-25,2.407894425226611457e+00,2.006181743343260493e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.592003713843934250e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.079004604999999017e+01,2.019303829023528341e+00,3.035065273339108856e-25,2.427806677452151618e+00,2.019303829023528341e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.653234625909313250e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.071004644999998234e+01,2.029196424999971438e+00,3.035065273339108856e-25,2.442942813059172380e+00,2.029196424999971438e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.714465537974692250e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.063004684999997274e+01,2.036329130038480262e+00,3.035065273339108856e-25,2.453937808702962631e+00,2.036329130038480262e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.775696450040071250e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.056004719999996411e+01,2.041123702272931606e+00,3.035065273339108856e-25,2.461376637297877590e+00,2.041123702272931606e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.836927362105450500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.048004759999995628e+01,2.043938829844485383e+00,3.035065273339108856e-25,2.465773438249075689e+00,2.043938829844485383e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.898158274170829500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.041004794999995653e+01,2.045064287667101244e+00,3.035065273339108856e-25,2.467550510782090978e+00,2.045064287667101244e+00,1.000000000000000000e+00
1.440786571999999869e+05,1.959389186236208500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.034004829999995678e+01,2.044760487824175410e+00,3.035065273339108856e-25,2.467080274858113764e+00,2.044760487824175410e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.020620098301587500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.027004864999995704e+01,2.043229103598586338e+00,3.035065273339108856e-25,2.464668429978499553e+00,2.043229103598586338e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.081851010366966500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.020004899999995729e+01,2.040669071811570312e+00,3.035065273339108856e-25,2.460613739220877783e+00,2.040669071811570312e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.143081922432345750e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.014004929999995674e+01,2.037224049303113738e+00,3.035065273339108856e-25,2.455127926792263882e+00,2.037224049303113738e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.204312834497724750e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.007004964999995700e+01,2.033030433800355308e+00,3.035065273339108856e-25,2.448425899345111567e+00,2.033030433800355308e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.265543746563103500e+15,1.000000000000000048e-04,3.035065273339108856e-25,1.001004994999995823e+01,2.028202205596151941e+00,3.035065273339108856e-25,2.440687577678582798e+00,2.028202205596151941e+00,1.000000000000000000e+00
