rhoc,rhocdm,R,M,Rdm,Mdm,Mb,Md,Mg,fdm 
7.757768654999999569e+00,7.757768654999999569e+00,0.000000000000000000e+00,1.634200005813848013e-29,0.000000000000000000e+00,1.634200005813848013e-29,1.634200005813848013e-29,1.634200005813848013e-29,3.268400011627696026e-29,5.000000000000000000e-01
7.757768654999999569e+00,3.713339140859396875e+13,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,6.257250902823845162e-02,1.634200005813848013e-29,6.283394164191341558e-02,6.257250902823845162e-02,1.000000000000000000e+00
7.757768654999999569e+00,7.426678281718017188e+13,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,7.198763656377556164e-02,1.634200005813848013e-29,7.241884329652734098e-02,7.198763656377556164e-02,1.000000000000000000e+00
7.757768654999999569e+00,1.114001742257663750e+14,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,7.983411472771817508e-02,1.634200005813848013e-29,8.042688150255911106e-02,7.983411472771817508e-02,1.000000000000000000e+00
7.757768654999999569e+00,1.485335656343525938e+14,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,8.712919616638566123e-02,1.634200005813848013e-29,8.787777651265679668e-02,8.712919616638566123e-02,1.000000000000000000e+00
7.757768654999999569e+00,1.856669570429388125e+14,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,9.780446230696900056e-02,1.634200005813848013e-29,9.881541396042109460e-02,9.780446230696900056e-02,1.000000000000000000e+00
7.757768654999999569e+00,2.228003484515250000e+14,1.000000000000000048e-04,1.634200005813848013e-29,2.000000000000101963e+01,1.191791600560658804e-01,1.634200005813848013e-29,1.207963440701523561e-01,1.191791600560658804e-01,1.000000000000000000e+00
7.757768654999999569e+00,2.599337398601112188e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.994000030000101376e+01,1.543367019331211010e-01,1.634200005813848013e-29,1.571972328883019521e-01,1.543367019331211010e-01,1.000000000000000000e+00
7.757768654999999569e+00,2.970671312686974375e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.603001985000057772e+01,1.990422240259424047e-01,1.634200005813848013e-29,2.038302261186472342e-01,1.990422240259424047e-01,1.000000000000000000e+00
7.757768654999999569e+00,3.342005226772836250e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.396003020000034489e+01,2.656095220531255463e-01,1.634200005813848013e-29,2.739639868785418431e-01,2.656095220531255463e-01,1.000000000000000000e+00
7.757768654999999569e+00,3.713339140858698750e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.310003450000024827e+01,3.359249127728599627e-01,1.634200005813848013e-29,3.488734065696310616e-01,3.359249127728599627e-01,1.000000000000000000e+00
7.757768654999999569e+00,4.084673054944560625e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.256003720000018831e+01,4.416240557332033467e-01,1.634200005813848013e-29,4.630449481569559045e-01,4.416240557332033467e-01,1.000000000000000000e+00
7.757768654999999569e+00,4.456006969030422500e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.238003810000016891e+01,5.438591930951369724e-01,1.634200005813848013e-29,5.752082076081805884e-01,5.438591930951369724e-01,1.000000000000000000e+00
7.757768654999999569e+00,4.827340883116285000e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.231003845000016028e+01,6.690283368303779898e-01,1.634200005813848013e-29,7.148752648397302956e-01,6.690283368303779898e-01,1.000000000000000000e+00
7.757768654999999569e+00,5.198674797202146875e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.232003840000016126e+01,7.872989173973519161e-01,1.634200005813848013e-29,8.492413932170951307e-01,7.872989173973519161e-01,1.000000000000000000e+00
7.757768654999999569e+00,5.570008711288009375e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.235003825000016420e+01,9.216567732962035464e-01,1.634200005813848013e-29,1.004790893929652595e+00,9.216567732962035464e-01,1.000000000000000000e+00
7.757768654999999569e+00,5.941342625373871250e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.240003800000017087e+01,1.052936545637106702e+00,1.634200005813848013e-29,1.159885686000406091e+00,1.052936545637106702e+00,1.000000000000000000e+00
7.757768654999999569e+00,6.312676539459733750e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.246003770000017674e+01,1.190481067671147031e+00,1.634200005813848013e-29,1.325822230460491191e+00,1.190481067671147031e+00,1.000000000000000000e+00
7.757768654999999569e+00,6.684010453545595000e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.250003750000018243e+01,1.326869562514074730e+00,1.634200005813848013e-29,1.494066146067779766e+00,1.326869562514074730e+00,1.000000000000000000e+00
7.757768654999999569e+00,7.055344367631457500e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.253003735000018537e+01,1.457914006554759112e+00,1.634200005813848013e-29,1.659395294885706029e+00,1.457914006554759112e+00,1.000000000000000000e+00
7.757768654999999569e+00,7.426678281717320000e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.255003725000018733e+01,1.585339682108135140e+00,1.634200005813848013e-29,1.823900668746710307e+00,1.585339682108135140e+00,1.000000000000000000e+00
7.757768654999999569e+00,7.798012195803181250e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.256003720000018831e+01,1.698479517610845813e+00,1.634200005813848013e-29,1.973272701159629161e+00,1.698479517610845813e+00,1.000000000000000000e+00
7.757768654999999569e+00,8.169346109889043750e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.255003725000018733e+01,1.807531369310713787e+00,1.634200005813848013e-29,2.120473089086617247e+00,1.807531369310713787e+00,1.000000000000000000e+00
7.757768654999999569e+00,8.540680023974906250e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.253003735000018537e+01,1.899728531067269799e+00,1.634200005813848013e-29,2.247585518907703861e+00,1.899728531067269799e+00,1.000000000000000000e+00
7.757768654999999569e+00,8.912013938060767500e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.250003750000018243e+01,1.989173132911202346e+00,1.634200005813848013e-29,2.373476120808507339e+00,1.989173132911202346e+00,1.000000000000000000e+00
7.757768654999999569e+00,9.283347852146630000e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.246003770000017674e+01,2.063671710403670367e+00,1.634200005813848013e-29,2.480427232375228996e+00,2.063671710403670367e+00,1.000000000000000000e+00
7.757768654999999569e+00,9.654681766232492500e+14,1.000000000000000048e-04,1.634200005813848013e-29,1.241003795000017185e+01,2.131915194918488687e+00,1.634200005813848013e-29,2.580245058683376502e+00,2.131915194918488687e+00,1.000000000000000000e+00
7.757768654999999569e+00,1.002601568031835500e+15,1.000000000000000048e-04,1.634200005813848013e-29,1.235003825000016420e+01,2.189270380613541622e+00,1.634200005813848013e-29,2.665637750367593650e+00,2.189270380613541622e+00,1.000000000000000000e+00
