rhoc,rhocdm,R,M,Rdm,Mdm,Mb,Md,Mg,fdm 
1.315441163999999930e+01,1.315441163999999930e+01,0.000000000000000000e+00,2.771020964218964153e-29,0.000000000000000000e+00,2.771020964218964153e-29,2.771020964218964153e-29,2.771020964218964153e-29,5.542041928437928306e-29,5.000000000000000000e-01
1.315441163999999930e+01,5.832692090881865625e+13,1.000000000000000048e-04,2.771020964218964153e-29,2.000000000000101963e+01,7.329412610985533427e-02,2.771021801223968193e-29,7.370628297565598452e-02,7.329412610985533427e-02,1.000000000000000000e+00
1.315441163999999930e+01,1.166538418176241562e+14,1.000000000000000048e-04,2.771020964218964153e-29,2.000000000000101963e+01,7.922037159102526815e-02,2.771021801223968193e-29,8.007399325760407305e-02,7.922037159102526815e-02,1.000000000000000000e+00
1.315441163999999930e+01,1.749807627264296562e+14,1.000000000000000048e-04,2.771020964218964153e-29,2.000000000000101963e+01,9.148748896552683085e-02,2.771021801223968193e-29,9.323619350139884798e-02,9.148748896552683085e-02,1.000000000000000000e+00
1.315441163999999930e+01,2.333076836352351562e+14,1.000000000000000048e-04,2.771020964218964153e-29,2.000000000000101963e+01,1.333103837751958842e-01,2.771021801223968193e-29,1.375072806425299277e-01,1.333103837751958842e-01,1.000000000000000000e+00
1.315441163999999930e+01,2.916346045440406250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.703001485000068627e+01,1.916342286940662942e-01,2.771021801223968193e-29,1.998308702141563531e-01,1.916342286940662942e-01,1.000000000000000000e+00
1.315441163999999930e+01,3.499615254528461250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.435002825000038840e+01,2.624887466650852597e-01,2.771021801223968193e-29,2.764630008023174490e-01,2.624887466650852597e-01,1.000000000000000000e+00
1.315441163999999930e+01,4.082884463616516250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.304003480000024240e+01,3.642659555435218133e-01,2.771021801223968193e-29,3.882318169612448688e-01,3.642659555435218133e-01,1.000000000000000000e+00
1.315441163999999930e+01,4.666153672704571250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.251003745000018341e+01,4.704722008324003224e-01,2.771021801223968193e-29,5.068688969940799982e-01,4.704722008324003224e-01,1.000000000000000000e+00
1.315441163999999930e+01,5.249422881792626250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.225003875000015441e+01,5.816339899671555402e-01,2.771021801223968193e-29,6.331955434018615714e-01,5.816339899671555402e-01,1.000000000000000000e+00
1.315441163999999930e+01,5.832692090880681250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.211003945000013715e+01,7.085983337548688032e-01,2.771021801223967633e-29,7.802366545538469422e-01,7.085983337548688032e-01,1.000000000000000000e+00
1.315441163999999930e+01,6.415961299968736250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.204003980000013030e+01,8.299045612662835358e-01,2.771021801223967633e-29,9.235439295642265956e-01,8.299045612662835358e-01,1.000000000000000000e+00
1.315441163999999930e+01,6.999230509056791250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.199004005000012540e+01,9.479440103737898360e-01,2.771021801223967072e-29,1.065746958356105223e+00,9.479440103737898360e-01,1.000000000000000000e+00
