energy_densityc2,pressurec2,baryon_density
1.659182799000000060e+08,3.842292429000000266e+04,1.659182799000000060e+08
1.715000676999999881e+08,4.018014095000000088e+04,1.715000676999999881e+08
1.772697618000000119e+08,4.201813378999999986e+04,1.772697618000000119e+08
1.832335206999999881e+08,4.394196405999999843e+04,1.832335206999999881e+08
1.893978566999999881e+08,4.595037692000000243e+04,1.893978566999999881e+08
1.957695970000000000e+08,4.804662481000000116e+04,1.957695970000000000e+08
2.023558643000000119e+08,5.024124437000000034e+04,2.023558643000000119e+08
2.091637200000000000e+08,5.253810257999999885e+04,2.091637200000000000e+08
2.162003925999999940e+08,5.492923232999999891e+04,2.162003925999999940e+08
2.234739690999999940e+08,5.743471600999999646e+04,2.234739690999999940e+08
2.309923920999999940e+08,6.005284032000000298e+04,2.309923920999999940e+08
2.387635638000000119e+08,6.278392035999999644e+04,2.387635638000000119e+08
2.467964249000000060e+08,6.564315700000000652e+04,2.467964249000000060e+08
2.550993764000000060e+08,6.863208823999999731e+04,2.550993764000000060e+08
2.636819245000000000e+08,7.174964286999999604e+04,2.636819245000000000e+08
2.725529895000000000e+08,7.501416882999999507e+04,2.725529895000000000e+08
2.817225933000000119e+08,7.841899838000000454e+04,2.817225933000000119e+08
2.912007481999999881e+08,8.198101112999999896e+04,2.912007481999999881e+08
3.009978193999999762e+08,8.570404059999999299e+04,3.009978193999999762e+08
3.111246150000000000e+08,8.958606708999999682e+04,3.111246150000000000e+08
3.215919998999999762e+08,9.364971206999999413e+04,3.215919998999999762e+08
3.324117973000000119e+08,9.789323613999999361e+04,3.324117973000000119e+08
3.435955040000000000e+08,1.023313482999999978e+05,3.435955040000000000e+08
3.551554676000000238e+08,1.069613105999999971e+05,3.551554676000000238e+08
3.671044823000000119e+08,1.118084557999999961e+05,3.671044823000000119e+08
3.794554938000000119e+08,1.168633687999999966e+05,3.794554938000000119e+08
3.922222655000000000e+08,1.221571894999999931e+05,3.922222655000000000e+08
4.054184875000000000e+08,1.276758950000000041e+05,4.054184875000000000e+08
4.190587860000000000e+08,1.334450309999999881e+05,4.190587860000000000e+08
4.331580245000000000e+08,1.394692944999999891e+05,4.331580245000000000e+08
4.477316921999999881e+08,1.457819277000000002e+05,4.477316921999999881e+08
4.627956386000000238e+08,1.523484256999999925e+05,4.627956386000000238e+08
4.783666141999999881e+08,1.592380033999999869e+05,4.783666141999999881e+08
4.944615323000000119e+08,1.664024403999999922e+05,4.944615323000000119e+08
5.110980181000000238e+08,1.739064089000000095e+05,5.110980181000000238e+08
5.282941993999999762e+08,1.817491393000000098e+05,5.282941993999999762e+08
5.460691937000000477e+08,1.899271381000000110e+05,5.460691937000000477e+08
5.644422080000000000e+08,1.985003081999999995e+05,5.644422080000000000e+08
5.834335417999999523e+08,2.074240890000000072e+05,5.834335417999999523e+08
6.030638686000000238e+08,2.167477483000000066e+05,6.030638686000000238e+08
6.233549950000000000e+08,2.265059972999999882e+05,6.233549950000000000e+08
6.443288241000000238e+08,2.366873978000000061e+05,6.443288241000000238e+08
6.660081533999999762e+08,2.473117888000000094e+05,6.660081533999999762e+08
6.884173118999999762e+08,2.584450260000000126e+05,6.884173118999999762e+08
7.115804657999999523e+08,2.700418920999999973e+05,7.115804657999999523e+08
7.355230862000000477e+08,2.821480669999999809e+05,7.355230862000000477e+08
7.602714206000000238e+08,2.948256857999999775e+05,7.602714206000000238e+08
7.858526858999999762e+08,3.080546792000000132e+05,7.858526858999999762e+08
8.122946802999999523e+08,3.218799824999999837e+05,8.122946802999999523e+08
8.396265342000000477e+08,3.362959036000000197e+05,8.396265342000000477e+08
8.678780217999999523e+08,3.513609880000000121e+05,8.678780217999999523e+08
8.970804855000000000e+08,3.670944398999999976e+05,8.970804855000000000e+08
9.272655470000000000e+08,3.835305222000000067e+05,9.272655470000000000e+08
9.584664420000000000e+08,4.006711464999999735e+05,9.584664420000000000e+08
9.907173031000000238e+08,4.186433369999999995e+05,9.907173031000000238e+08
1.024053562000000000e+09,4.373829933999999776e+05,1.024053562000000000e+09
1.058511879000000000e+09,4.569044908999999752e+05,1.058511879000000000e+09
1.094129650000000000e+09,4.773484817000000039e+05,1.094129650000000000e+09
1.130945969000000000e+09,4.986488132999999798e+05,1.130945969000000000e+09
1.169001379000000000e+09,5.209498322000000044e+05,1.169001379000000000e+09
1.208337538000000000e+09,5.441930078999999678e+05,1.208337538000000000e+09
1.248997622000000000e+09,5.684857970999999670e+05,1.248997622000000000e+09
1.291026086000000000e+09,5.938268830999999773e+05,1.291026086000000000e+09
1.334468936000000000e+09,6.203305008000000380e+05,1.334468936000000000e+09
1.379373928000000000e+09,6.480287510000000475e+05,1.379373928000000000e+09
1.425790185000000000e+09,6.768866147000000346e+05,1.425790185000000000e+09
1.473768613000000000e+09,7.070340337000000291e+05,1.473768613000000000e+09
1.523361766000000000e+09,7.385832565999999642e+05,1.523361766000000000e+09
1.574623914000000000e+09,7.714642946999999695e+05,1.574623914000000000e+09
1.627611659000000000e+09,8.058102998999999836e+05,1.627611659000000000e+09
1.682382448000000000e+09,8.416130287999999709e+05,1.682382448000000000e+09
